,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,row_id
0,City Hotel,47,2016,March,13,20,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,85.0,0,0,2,0
1,Resort Hotel,221,2017,April,18,30,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,71.43,0,0,1,1
2,City Hotel,11,2016,February,6,1,2,5,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,79.0,0,0,1,2
3,Resort Hotel,88,2015,November,48,28,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,32.4,0,0,1,3
4,Resort Hotel,250,2017,August,33,13,2,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,106.85,0,1,0,4
5,City Hotel,209,2017,August,33,14,1,2,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,D,D,1,No Deposit,0,Transient,188.0,0,1,0,5
6,City Hotel,44,2016,April,15,4,1,0,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,107.1,0,0,1,6
7,City Hotel,108,2017,March,13,31,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,28,Transient,90.0,0,0,1,7
8,City Hotel,1,2017,June,23,10,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,175.5,0,2,0,8
9,Resort Hotel,17,2016,March,13,21,1,0,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,25.0,0,0,0,9
10,City Hotel,24,2016,December,51,13,0,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,68.07,0,0,0,10
11,Resort Hotel,230,2016,September,37,8,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,90.9,0,0,0,11
12,City Hotel,8,2016,May,20,10,0,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,108.57,0,0,1,12
13,City Hotel,132,2017,July,27,8,2,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,107.1,0,2,0,13
14,Resort Hotel,173,2017,August,32,11,2,4,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,200.0,0,4,0,14
