n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,acc_train,acc_test,f1_train,f1_test,n_features_
200,64.0,sqrt,2,1.0,0.9965528502485577,0.8764150943396226,0.9871403168009628,0.7113194200184935,324
100,64.0,sqrt,2,1.0,0.996534707355129,0.8760522496371553,0.9868946306704153,0.7104122750192818,324
300,64.0,sqrt,2,1.0,0.9965528502485577,0.8749637155297533,0.9871207397386446,0.7102745199274373,324
200,,sqrt,2,1.0,0.9965528502485577,0.8754716981132076,0.9871402289719566,0.7067267839619459,324
300,,sqrt,2,1.0,0.9965528502485577,0.8759796806966619,0.9871208274188948,0.7039809667755409,324
300,32.0,sqrt,2,1.0,0.974926521281614,0.8748185776487664,0.9340951818045347,0.7036359716308302,324
100,,sqrt,2,1.0,0.996534707355129,0.8747460087082729,0.9868945869368971,0.7029829068609538,324
100,64.0,log2,2,1.0,0.9964984215682717,0.8722060957910015,0.986243569143019,0.699720035236313,324
200,,log2,2,1.0,0.9965528502485577,0.8700290275761974,0.9871204325924176,0.6987047925613745,324
200,64.0,log2,2,1.0,0.9965528502485577,0.8698838896952105,0.9871206958858864,0.6986055939659229,324
300,64.0,log2,2,1.0,0.9965528502485577,0.8696661828737301,0.9871206958858864,0.6977043556051332,324
200,32.0,sqrt,2,1.0,0.9746180920933271,0.8747460087082729,0.9355156908196401,0.6971372646082422,324
300,,log2,2,1.0,0.9965528502485577,0.8697387518142236,0.9871207397386446,0.6959607480651037,324
100,32.0,sqrt,2,1.0,0.9743096629050401,0.8732946298984035,0.9313094708708181,0.6952837387122011,324
100,,log2,2,1.0,0.9965165644617003,0.8697387518142236,0.9865693331847257,0.6951644691662926,324
100,64.0,sqrt,5,1.0,0.9775572408287674,0.875544267053701,0.8556663229239195,0.6780541217825932,324
200,64.0,sqrt,5,1.0,0.9781922420987699,0.8757619738751814,0.8510456744923222,0.6747098107936506,324
200,,sqrt,5,1.0,0.9783736710330564,0.8753991291727141,0.852348409423329,0.6744575146009337,324
300,64.0,sqrt,5,1.0,0.9787546717950579,0.8752539912917271,0.8567302173455302,0.67433905887149,324
300,,sqrt,5,1.0,0.9789361007293443,0.8750362844702467,0.8521863880681898,0.6742130067361279,324
100,,sqrt,5,1.0,0.9777386697630538,0.8741654571843251,0.8469869876177872,0.6700326180941149,324
300,,log2,5,1.0,0.9754163794041874,0.8685050798258346,0.8305479475047747,0.6686383764823464,324
100,,log2,5,1.0,0.9735295184876084,0.8690130624092888,0.8245839648464064,0.6684331698657863,324
300,64.0,log2,5,1.0,0.9722595159476033,0.8679970972423803,0.8164038668413229,0.6675597610291444,324
200,,log2,5,1.0,0.9748176639210421,0.8695210449927431,0.8236096701526231,0.6657856130965709,324
200,64.0,log2,5,1.0,0.9720962299067455,0.8683599419448476,0.817614248460714,0.6642315646672178,324
300,32.0,sqrt,5,1.0,0.9430131717406292,0.8702467343976777,0.7506656936268813,0.6637096428565202,324
100,64.0,log2,5,1.0,0.9710257991944555,0.8673439767779391,0.8148248709846754,0.6634982078728665,324
300,32.0,log2,2,1.0,0.955767625820966,0.8620464441219158,0.8151521439500039,0.6617402316186287,324
100,32.0,sqrt,5,1.0,0.9428135999129141,0.8715529753265603,0.7531412626983894,0.660952346354238,324
200,32.0,sqrt,5,1.0,0.9432127435683443,0.8706095791001451,0.753968989690779,0.6601626170379623,324
100,32.0,log2,2,1.0,0.9547334808955332,0.8611030478955007,0.8203692599811804,0.6569725777430924,324
200,32.0,log2,2,1.0,0.954951195616677,0.8611030478955007,0.8119347660458837,0.6536053728960075,324
100,32.0,log2,5,1.0,0.9186835516528176,0.8540638606676343,0.680729064822649,0.6441860665884153,324
300,,sqrt,2,2.0,0.9315831488805835,0.8695210449927431,0.6911733083666475,0.6437417300210946,324
300,64.0,sqrt,2,2.0,0.9316920062411553,0.8695210449927431,0.6931426842536209,0.6437124713421899,324
300,,sqrt,5,2.0,0.9289342864400014,0.8683599419448476,0.6843427900887473,0.6429292064830505,324
